GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-commons,com.irurueta.commons,EditDistance,8,158,4,14,3,25,4,9,0,4
com.irurueta:irurueta-commons,com.irurueta.commons,BuildInfo,39,113,6,4,4,31,4,11,0,10
com.irurueta:irurueta-commons,com.irurueta.commons,DateUtils,7,131,4,8,4,35,4,10,0,8
com.irurueta:irurueta-commons,com.irurueta.commons,MaskedPanFormatter,7,162,2,17,3,51,3,20,1,8
com.irurueta:irurueta-commons,com.irurueta.commons,EditDistance.StringArrayWrapper,2,29,1,3,1,7,1,4,0,3
com.irurueta:irurueta-commons,com.irurueta.commons,PanMaskGenerator,3,57,0,6,1,14,1,7,1,4
com.irurueta:irurueta-commons,com.irurueta.commons,CommonsException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-commons,com.irurueta.commons,EditDistance.GenericArrayWrapper,2,26,1,1,1,7,1,3,0,3
com.irurueta:irurueta-commons,com.irurueta.commons.validators,CreditCardValidator,50,2450,20,185,17,347,19,210,0,95
com.irurueta:irurueta-commons,com.irurueta.commons.validators,CreditCardNetwork,5,193,0,0,0,19,1,3,1,3
com.irurueta:irurueta-commons,com.irurueta.commons.validators,Validator,0,3,0,0,0,1,0,1,0,1
com.irurueta:irurueta-commons,com.irurueta.commons.validators,RFCValidator,0,13,0,4,0,2,0,4,0,2
com.irurueta:irurueta-commons,com.irurueta.commons.validators,EmailValidator,0,38,1,7,0,7,1,6,0,3
com.irurueta:irurueta-commons,com.irurueta.commons.validators,CreditCardValidator.new Object() {...},18,113,0,0,0,1,0,1,0,1
com.irurueta:irurueta-commons,com.irurueta.commons.validators,NIFValidator.Validador,232,835,86,72,46,81,58,26,0,5
com.irurueta:irurueta-commons,com.irurueta.commons.validators,ZipCodeValidator,1,260,1,11,0,54,1,13,0,8
com.irurueta:irurueta-commons,com.irurueta.commons.validators,NIFValidator,20,126,11,25,2,25,13,24,2,17
